Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Новинка;"Яндекс маркет";Бренд;Вариант;Св-во1;Цвет;Рейтинг;Голосов;Просмотров;"Старая цена";Артикул;Склад;"Ед-ца измерения";Валюта;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вес (кг)";"Объем (куб.м.)"
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;"120-125 Крачный";120-125;Крачный;0.0;0;5;;"108 045";2;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;"120-125 Синий";120-125;Синий;0.0;0;5;;"108 045";;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;125-130;125-130;;0.0;0;5;;"108 045";0;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;130-135;130-135;;0.0;0;5;;"108 045";;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;140-146;140-146;;0.0;0;5;;"108 045";;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;152-158;152-158;;0.0;0;5;;"108 045";;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Школа# Костюмы для детей/Униформа# Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Сказки и Кино/Для мальчиков# Костюмы для детей/Костюмы на новый год/Для мальчиков";"Костюм художника";2320.00;kostyum-hudozhnika1237;1;;0;;Масочка;115-125;;;0.0;0;2;;ПР-1237;;;2;"Костюм художника для мальчика купить на праздник";"Костюм художника, Алла, Школа";"В карнавальный костюм Художника входит: штаны, рубашка, головной убор, жилет. Материалы: креп-сатин, велюр.";;"<p><span style=""font-size: medium;"">В&nbsp;карнавальный костюм Художника&nbsp;входит: штаны, рубашка, головной убор, жилет.</span><br /><span style=""font-size: medium;"">Материалы: креп-сатин, велюр.</span></p>";"1237.jpg, 1237-4.jpg, 1237-2.jpg, 1237-1.jpg, 1237-3.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;28;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;30;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;32;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
